zip,city,province,district,lon,lat
22274,Keerthi Bandarapura,Central Province,Nuwara Eliya,7.1141,80.8511
22280,Nildandahinna,Central Province,Nuwara Eliya,7.0679,80.8939
22282,Kalaganwatta,Central Province,Nuwara Eliya,7.1,80.9
22285,Udamadura,Central Province,Nuwara Eliya,7.0854,80.9165
22287,Teripeha,Central Province,Nuwara Eliya,7.1181,80.9179
50000,Anuradhapura,North Central Province,Anuradhapura,8.3565,80.4173
50004,Perimiyankulama,North Central Province,Anuradhapura,8.2667,80.5333
50006,Galkadawala,North Central Province,Anuradhapura,8.6044,80.681
50008,Saliyapura,North Central Province,Anuradhapura,8.4225,81.0541
50012,Viharapalugama,North Central Province,Anuradhapura,8.3955,80.3103
50014,Elayapattuwa,North Central Province,Anuradhapura,8.3955,80.3103
50016,Tantirimale,North Central Province,Anuradhapura,8.3955,80.3103
50020,Pemaduwa,North Central Province,Anuradhapura,8.3322,80.3645
50022,Mahawilachchiya,North Central Province,Anuradhapura,8.3322,80.3645
50029,Pandulagama,North Central Province,Anuradhapura,8.3322,80.3645
50036,Gnanikulama,North Central Province,Anuradhapura,8.25,80.5167
50042,Sravasthipura,North Central Province,Anuradhapura,8.2629,80.4325
50044,Hidogama,North Central Province,Anuradhapura,8.2591,80.3983
50046,Nachchaduwa,North Central Province,Anuradhapura,8.2667,80.4667
50055,Parasangahawewa,North Central Province,Anuradhapura,8.3864,80.3725
50057,Gambirigaswewa,North Central Province,Anuradhapura,8.2377,80.3368
50062,Kurundankulama,North Central Province,Anuradhapura,8.2,80.45
50064,Galkulama,North Central Province,Anuradhapura,8.2667,80.5
50067,Uttimaduwa,North Central Province,Anuradhapura,8.25,80.55
50068,Sivalakulama,North Central Province,Anuradhapura,8.25,80.6333
50072,Tirappane,North Central Province,Anuradhapura,8.3,80.5833
50080,Maradankadawala,North Central Province,Anuradhapura,8.1268,80.5621
50086,Walagambahuwa,North Central Province,Anuradhapura,8.15,80.5
50088,Labunoruwa,North Central Province,Anuradhapura,8.1667,80.6
50100,Kekirawa,North Central Province,Anuradhapura,8.0385,80.5941
50104,Tammennawa,North Central Province,Anuradhapura,8.0909,80.356
50110,Vijithapura,North Central Province,Anuradhapura,7.9,80.5261
50111,Palagala,North Central Province,Anuradhapura,7.9,80.5261
50112,Andiyagala,North Central Province,Anuradhapura,7.9,80.5261
50120,Galkiriyagama,North Central Province,Anuradhapura,7.9425,80.565
50122,Pubbogama,North Central Province,Anuradhapura,7.9261,80.5936
50124,Halmillawa Dambulla,North Central Province,Anuradhapura,7.9517,80.5913
50126,Maha Elagamuwa,North Central Province,Anuradhapura,7.9865,80.6153
50130,Madatugama,North Central Province,Anuradhapura,7.942,80.628
50132,Kitulhitiyawa,North Central Province,Anuradhapura,7.9185,80.631
50142,Ganewalpola,North Central Province,Anuradhapura,8.0933,80.6215
50144,Palugaswewa,North Central Province,Anuradhapura,8.0577,80.707
50150,Habarana,North Central Province,Anuradhapura,8.0363,80.7467
50169,Awukana,North Central Province,Anuradhapura,7.9969,80.5461
50170,Galnewa,North Central Province,Anuradhapura,8.0257,80.4803
50174,Kalankuttiya,North Central Province,Anuradhapura,8.05,80.3833
50176,Hurigaswewa,North Central Province,Anuradhapura,8.0759,80.373
50180,Negampaha,North Central Province,Anuradhapura,7.998,80.4595
50182,Maneruwa,North Central Province,Anuradhapura,7.9173,80.4859
50184,Siyambalewa,North Central Province,Anuradhapura,7.9474,80.5172
50196,Mahabulankulama,North Central Province,Anuradhapura,7.9969,80.5461
50200,Nochchiyagama,North Central Province,Anuradhapura,8.2631,80.2044
50206,Pahala Halmillewa,North Central Province,Anuradhapura,8.1334,80.3599
50207,Udunuwara Colony,North Central Province,Anuradhapura,8.1982,80.2822
50210,Galadivulwewa,North Central Province,Anuradhapura,7.9218,80.0859
